release_date,followers
1999,889372
1999,889372
2017-03-10,48717
2013-09-24,467468
2022-03-06,96753
1972-01-01,219585
2008-10-14,245742
2020-03-13,126647
1998,889372
2021-10-14,941
2017-04-28,1090309
2018-03-23,42441
2006-04-11,42899
2022-02-11,42441
1996,889372
2015-02-10,7716
2016-05-06,36233
2022-08-26,467468
2008-07-21,3000661
2022-05-06,22999
2018-05-25,4382
1999-01-01,629790
1974-01-01,219585
2018-09-28,42441
2000,467468
2008-07-21,3000661
2007-10-23,72200
2010-02-16,889372
2013-10-28,7490
2022-01-28,19512
2022-08-25,17217
2008-06-17,16126
2008-04-01,889372
2008-07-21,3000661
2011-03-08,61694
2016-11-07,22999
2014-10-21,223077
2022-07-28,17217
2019-05-03,61694
2016-12-16,124938
2019-05-10,61694
2009-05-26,467468
2009-10-19,61425
1978,87293
2012-11-07,69020
2022-08-25,17217
2011-03-08,61694
2022-09-16,87855
2021-04-23,325884
2013-07-01,31087
1998-06-30,740626
2017-02-24,467468
1999,889372
2017-02-24,467468
2019-07-12,325884
2010-11-22,3000661
2021-12-02,77113
2020-12-11,59527
2013-10-29,124938
2019-11-22,245742
2019-10-11,7352
2000-01-01,102339
2013-05-09,10001
2018-06-29,8400
2009,10001
2018-04-06,4662
2017-03-31,31239
2018-02-09,27813
1993-01-01,43295
1969,272440
2015-04-06,4923
2018-06-29,8400
2017-09-08,36233
2015-10-23,31239
2000,467468
2022-01-28,19512
2015-02-10,7716
2018-09-28,9201
2015-01-01,77113
2011-06-07,54370
2022-10-13,100510
2001-07-21,17054
2021-07-06,43295
1996,889372
2012-11-07,69020
2017-04-28,1090309
2019-02-22,22999
2017-04-28,1090309
2020-11-27,31239
1972-01-01,87293
2017-04-28,1090309
2021-04-23,325884
2006-01-01,740626
2011-03-08,61694
2008-04-01,889372
2009-05-26,467468
2020-10-02,31087
2016-01-27,19424
2009-08-10,7345
2016-09-22,17217
2021-04-23,325884
2021-04-23,325884
2022-10-14,87293
1999,889372
2020-09-18,255761
2009-08-24,41116
2017-08-01,38118
2013-05-14,54370
2020-10-31,7352
2019-10-16,17162
2012-08-14,70495
2005-06-27,289958
1969,272440
1994-03-28,289958
2008-02-04,30363
2015-02-10,7716
2017-08-04,889372
2021-01-29,19424
1996,889372
2014-02-28,30440
2016-05-13,4115
2018-04-18,4692
1972-01-01,87293
2017-03-31,31239
2021-11-05,8604
2012-10-30,245742
2019-10-25,30648
2022-01-28,19512
2016-05-06,6200
1998,889372
2021-12-09,1090309
1998,889372
2008-07-21,3000661
2022-03-04,42441
2005,201854
2008-04-01,889372
2000-01-01,740626
2005,201854
2014-10-21,223077
2022-01-28,19512
2016-11-11,61694
2008-08-05,740626
2007-07-07,223077
2021-11-11,56821
2011-03-08,61694
2017-04-28,1090309
1999-11-16,71932
